id,simple_id,quiz_id,question,correct_answer,options,order_number,created_at,updated_at
0107dcd3-7554-49f5-9ea7-426592e1c64d,QQ005,76e24e67-5895-446e-b125-ae9aecf67155,国家 үгийн зөв уншлагыг сонгоно уу:,こっか,"[""こっか"",""はな"",""みち"",""かた""]",5,2025-03-24 02:24:14.924815+00,2025-03-24 02:24:14.924815+00
017651f9-9533-4322-b9f4-d7aacea67d6f,QQ008,b4c40f03-98e8-4be1-9a28-8b5d26cdb7bb,恋する (こいする) гэдэг үгийн утгыг сонгоно уу:,Дурлах,"[""Дурлах"",""Буруу хариулт 3"",""Буруу хариулт 2"",""Буруу хариулт 1""]",8,2025-03-24 02:24:14.924815+00,2025-03-24 02:24:14.924815+00
0223a01b-eff0-4dd9-b778-8a416641624a,QQ003,3ef10029-79d1-4a70-aa63-5db51093d756,機種 үгийн зөв уншлагыг сонгоно уу:,きしゅ,"[""みち"",""はな"",""きしゅ"",""かた""]",3,2025-03-24 02:24:14.924815+00,2025-03-24 02:24:14.924815+00
03b334b1-979c-47eb-b597-d79e8f39e218,QQ002,42db9fb9-3fc8-4ffd-a16f-7e388161bc6b,余暇 (よか) гэдэг үгийн утгыг сонгоно уу:,Чөлөөт цаг,"[""Чөлөөт цаг"",""Буруу хариулт 3"",""Буруу хариулт 1"",""Буруу хариулт 2""]",2,2025-03-24 02:24:14.924815+00,2025-03-24 02:24:14.924815+00
056b5afc-a2f3-46ef-a483-95a77728934f,QQ007,f758ff3a-4ce2-4c62-8a63-f762f509a2ee,めくる үгийн зөв уншлагыг сонгоно уу:,めくる,"[""めくる"",""はな"",""かた"",""みち""]",7,2025-03-24 02:24:14.924815+00,2025-03-24 02:24:14.924815+00
059a9109-f255-4907-a19d-45b19d8fd423,QQ009,102ba681-5927-4562-8748-c1248cb8c596,差し引く (さしひく) гэдэг үгийн утгыг сонгоно уу:,Хасах,"[""Буруу хариулт 3"",""Буруу хариулт 1"",""Хасах"",""Буруу хариулт 2""]",9,2025-03-24 02:24:14.924815+00,2025-03-24 02:24:14.924815+00
05e724b9-29db-4e1d-9c0b-f6c07f4e2fcf,QQ004,3ef10029-79d1-4a70-aa63-5db51093d756,創立＜する＞ үгийн зөв уншлагыг сонгоно уу:,そうりつ＜する＞,"[""はな"",""みち"",""そうりつ＜する＞"",""かた""]",4,2025-03-24 02:24:14.924815+00,2025-03-24 02:24:14.924815+00
06f1cd25-2886-4b24-a49f-600285577fd8,QQ001,3662b6a0-83cd-4d8a-87c5-71845409ff63,公的な үгийн зөв уншлагыг сонгоно уу:,こうてきな,"[""かた"",""みち"",""こうてきな"",""はな""]",1,2025-03-24 02:24:14.924815+00,2025-03-24 02:24:14.924815+00
0758bed1-e23b-4580-b43f-2a18e857c8d7,QQ005,3ef10029-79d1-4a70-aa63-5db51093d756,出題＜する＞ үгийн зөв уншлагыг сонгоно уу:,しゅつだい＜する＞,"[""はな"",""しゅつだい＜する＞"",""みち"",""かた""]",5,2025-03-24 02:24:14.924815+00,2025-03-24 02:24:14.924815+00
09288d5c-37b8-4434-b0e5-42167d82aa8f,QQ010,5833f0cd-4f15-4de4-a2ed-184e462ce481,沿線 (えんせん) гэдэг үгийн утгыг сонгоно уу:,Маршрутын дагуу,"[""Маршрутын дагуу"",""Буруу хариулт 3"",""Буруу хариулт 1"",""Буруу хариулт 2""]",10,2025-03-24 02:24:14.924815+00,2025-03-24 02:24:14.924815+00
095b8ff2-131d-4158-8d02-b46680267502,QQ010,98c8b668-1855-4657-b50a-abe3b0cefda0,まとまる (まとまる) гэдэг үгийн утгыг сонгоно уу:,Нэгдчих,"[""Буруу хариулт 3"",""Буруу хариулт 1"",""Буруу хариулт 2"",""Нэгдчих""]",10,2025-03-24 02:24:14.924815+00,2025-03-24 02:24:14.924815+00
0a1e64bb-8af9-415e-88ba-a36f3fe021c1,QQ003,d1a8f6d8-a5ee-460c-b0eb-109c37e8af4c,てきぱき[と]＜する＞ (てきぱき) гэдэг үгийн утгыг сонгоно уу:,"Хурдан, товчхон","[""Буруу хариулт 1"",""Буруу хариулт 2"",""Буруу хариулт 3"",""Хурдан, товчхон""]",3,2025-03-24 02:24:14.924815+00,2025-03-24 02:24:14.924815+00
0b24541c-a689-4895-9af7-d567db0c7e82,QQ010,7e67ec97-0a33-44de-bfbd-76e4de4e1cc3,甘い (あまい) гэдэг үгийн утгыг сонгоно уу:,①Амттай ②Эрхлүүлэх ③Гэнэн,"[""Буруу хариулт 1"",""Буруу хариулт 2"",""Буруу хариулт 3"",""①Амттай ②Эрхлүүлэх ③Гэнэн""]",10,2025-03-24 02:24:14.924815+00,2025-03-24 02:24:14.924815+00
