id,simple_id,chapter_id,title_en,title_ja,title_mn,order_number,created_at,updated_at,audio_url,completed
00806d75-8134-4e04-b4e6-100059f6dc21,C11L03,81864534-43b2-4a62-a6da-7ecc381b25a1,Society,社会,Нийгэм,3,2025-03-23 09:43:38.92522+00,2025-03-23 09:43:38.92522+00,,false
0095b87b-d0d8-4b53-9c74-cd8fa00c23f4,C12L02,2f6709bb-3ec5-48c9-ad7f-8ac8e9e0ba8a,Feeling Good,いい気分,Сайхан сэтгэл,2,2025-03-23 09:43:38.92522+00,2025-03-23 09:43:38.92522+00,,false
0502202f-9c7d-4968-8bce-838fc9e4fa7a,C09L02,f1e24f1b-c12e-4f0f-a0e1-2781cc450b1c,Commerce,商業,Худалдаа,2,2025-03-23 09:43:38.92522+00,2025-03-23 09:43:38.92522+00,,false
0befb5b8-627d-40d9-97cf-6c784114b2b7,C05L01,7632dfc0-74fe-42a2-9728-7f821d381ab4,Job Interview,就職面接,Ажлын ярилцлага,1,2025-03-23 09:43:38.92522+00,2025-03-23 09:43:38.92522+00,https://www.dropbox.com/scl/fi/y1z2a3b4c5d6e7f8g9h0/021.mp3?raw=1,false
1481d919-d023-47b7-91c7-baab70e068a2,C09L04,f1e24f1b-c12e-4f0f-a0e1-2781cc450b1c,Literature,文学,Уран зохиол,4,2025-03-23 09:43:38.92522+00,2025-03-23 09:43:38.92522+00,,false
1c8d4a95-c085-4a98-ae47-fbd7adec52a9,C06L01,ee81ee46-fa82-4937-ba27-a541a39e1bb3,City,都市,Хот,1,2025-03-23 09:43:38.92522+00,2025-03-23 09:43:38.92522+00,,false
1d10a05a-f114-4e9d-aecf-adfad968bb94,C06L02,ee81ee46-fa82-4937-ba27-a541a39e1bb3,Transportation,交通,Тээвэр,2,2025-03-23 09:43:38.92522+00,2025-03-23 09:43:38.92522+00,,false
211feb2e-faa4-4eb2-98ac-05650dae1dc5,C06L05,ee81ee46-fa82-4937-ba27-a541a39e1bb3,School,学校,Сургууль,5,2025-03-23 09:43:38.92522+00,2025-03-23 09:43:38.92522+00,,false
266fde35-ac80-4a78-a85b-06421f073daf,C01L03,9a91a9ab-aeed-44c9-bbed-9223acee66ed,Acquaintances,知り合い,Танилууд,3,2025-03-23 09:43:38.92522+00,2025-03-23 09:43:38.92522+00,https://www.dropbox.com/scl/fi/7dpklqj4equw585s9e1lt/003.mp3?raw=1,false
2abf0f07-8369-4b6f-9c74-20ff182cbdb3,C14L04,eb46ee1b-60ba-44f8-a893-61a606384909,Words with Various Meanings 1,いろいろな意味を持つ言葉①,Олон утгатай үг 1,4,2025-03-23 09:43:38.92522+00,2025-03-23 09:43:38.92522+00,,false
2f9ceaac-6679-47be-8db1-59c3f57949a8,C10L02,992d693b-0818-40df-818f-3fd89095253f,Computer,コンピュータ,Компьютер,2,2025-03-23 09:43:38.92522+00,2025-03-23 09:43:38.92522+00,,false
