id,lesson_id,kanji,hiragana,translation,example_ja,example_mn,order_number,created_at,updated_at,chapter_id
00273c4e-fa2a-481e-9a90-922fde9d1666,87ccc3d6-cdff-4e8b-8042-f75458c95583,極める,きわめる,Төгс болгочих,ぜひ日本の伝統の技を極めたい。,Заавал Японы уламжлалт ур чадварыг төгс болгъё гэж хүсдэг.,15,2025-03-23 12:03:18.288161+00,2025-03-23 12:03:18.288161+00,
0051ec8c-3add-4de2-a5e7-0565eaff3047,dbae3d05-1eff-47c3-baa8-97736b2e721f,とやかく,とやかく,Энд тэнд,あの人は人のことをとやかく言うので、苦手だ。,Тэр хүн бусдын тухай энд тэнд хэлдэг тул хэцүү байна.,11,2025-03-23 13:31:01.354096+00,2025-03-23 13:31:01.354096+00,
00695d02-fbad-43ff-8d60-42c44098a6a2,0095b87b-d0d8-4b53-9c74-cd8fa00c23f4,心が躍る,こころがおどる,Хөөртэй,明日から旅行だ。今から心が躍っている。,Маргаашаас аялал эхэлнэ. Одооноос сэтгэл хөөртэй байна.,12,2025-03-23 13:09:04.530579+00,2025-03-23 13:09:04.530579+00,
008d7223-d263-4b9d-ac13-e0528503246c,b18c660f-2585-425c-b5d2-cb7f45ed025c,所有＜する＞,しょゆう＜する＞,Эзэмших,この家を所有しているのは有名作家だそうだ。,Эндэх гэрийг алдартай зохиолч эзэмшдэг гэсэн.,17,2025-03-23 10:36:44.712668+00,2025-03-23 10:36:44.712668+00,
00b9402e-f4e8-4d16-82c8-3ab73d9b626b,a394b6cb-8b95-4c62-8a51-a4cbf0ac8106,紛れる,まぎれる,Анхаарал сарних/Холилдох,①家でゆったり本を読むだけで気が紛れる。②友人が、人ごみに紛れてしまった。,①Гэртээ тухлан ном уншихад л анхаарал сарнидаг. ②Найз маань хүн дунд холилдчихсон.,11,2025-03-23 10:52:53.124798+00,2025-03-23 10:52:53.124798+00,
00c7e565-e708-45c1-a80b-2195a9fad0f2,2f9ceaac-6679-47be-8db1-59c3f57949a8,風評,ふうひょう,Цуурхал,災害後の風評による被害も深刻だ。,Гамшгийн дараах цуурхалаас хохирол ч ноцтой.,38,2025-03-23 12:29:36.914144+00,2025-03-23 12:29:36.914144+00,
00f45eff-0377-4684-9041-e4d08c406556,00806d75-8134-4e04-b4e6-100059f6dc21,格差,かくさ,Ялгаа,日本では経済的格差が拡大していると言われる。,Японд эдийн засгийн ялгаа тэлж байна гэдэг.,6,2025-03-23 12:57:13.686902+00,2025-03-23 12:57:13.686902+00,
0115917a-791b-4abc-946a-cc0bf952295b,ed3b96e2-5464-466d-ad47-b1c0a4582140,創造＜する＞,そうぞう＜する＞,Бүтээх,大自然はどのように創造されたのだろうか。,Том байгаль хэрхэн бүтээгдсэн бол гэдэг вэ?,6,2025-03-23 12:35:03.498765+00,2025-03-23 12:35:03.498765+00,
012db0b3-bfb3-45e1-a9d2-52afb50dbb49,847e291d-af07-464d-9d15-955823d5030c,手掛ける,てがける,Эхэлчих,新しく手掛けるプロジェクトが楽しみだ。,Шинээр эхэлсэн төсөл тоглоомтой байна.,3,2025-03-23 11:19:28.540937+00,2025-03-23 11:19:28.540937+00,
0146f6c5-0f98-49b7-9b03-051c13dbeaf3,7cedd71f-b5a0-426b-88fb-94bc7ade6185,めっきり[と],めっきり,Тодорхой,ここのところ、めっきり記憶力が落ちた。,Сүүлийн үед тодорхойгоор ой санамж буурсан.,14,2025-03-23 11:46:22.462742+00,2025-03-23 11:46:22.462742+00,
0162dc7a-382b-4c4d-a59e-0968e23ebd78,0befb5b8-627d-40d9-97cf-6c784114b2b7,簡潔＜な＞,かんけつ＜な＞,Товч,簡潔に自己ピーアールをどうぞ。,Товчхон өөрийгөө танилцуулна уу.,9,2025-03-23 11:13:51.126635+00,2025-03-23 11:13:51.126635+00,
01996a2f-6ca4-428e-9b34-0677e5009e11,c9e33762-64df-49f0-a95e-ba73bf8d089e,空白＜な＞,くうはく＜な＞,Хоосон,バブル崩壊後は「空白の時代」と呼ばれる。,"Бөмбөлөг хагацсаны дараа ""хоосон эрин"" гэж нэрлэгддэг.",28,2025-03-23 13:03:00.253334+00,2025-03-23 13:03:00.253334+00,
01a8c6f8-6f93-4d94-96a5-81639934d598,2f9ceaac-6679-47be-8db1-59c3f57949a8,いざというとき,いざというとき,Шаардлагатай үед,いざというときのために食料を多めに買っておく。,Шаардлагатай үед хүнс ихээр худалдаж авна.,22,2025-03-23 12:29:36.914144+00,2025-03-23 12:29:36.914144+00,
01c0bd30-3fa4-4480-95be-084e0d258a12,7fc06800-3efd-443c-9fb3-a0df2e41ba48,ほっそり[と]＜する＞,ほっそり,Нарийхан,この雑誌のモデルのようにほっそりしたい。,Эндэх сэтгүүлийн моделийн адил нарийхан болмоор байна.,25,2025-03-23 11:53:58.528033+00,2025-03-23 11:53:58.528033+00,
01c47122-3332-4f40-8176-aaa3fca4b851,9cebe825-a9f1-4f01-aa1f-00d8bed57075,網羅＜する＞,もうら＜する＞,Хамрах,このガイドブックは主要な見所を網羅している。,Эндэх гарын авлага гол үзэсгэлэнтэй газруудыг хамардаг.,7,2025-03-23 12:10:34.87761+00,2025-03-23 12:10:34.87761+00,
01cce0cf-fef8-4950-ad68-28c87c18bcdc,d67a43fd-ac8e-42a1-82f8-9f78e3bf5898,刑務所,けいむしょ,Хорих газар,刑期が決まると、犯人は刑務所に入ることになる。,Хорих хугацаа тогтоогдоход гэмт хэрэгтэн хорих газарт орно.,38,2025-03-23 12:51:57.151027+00,2025-03-23 12:51:57.151027+00,
01d87b97-411a-4baf-b9b7-ad8a5618f5da,b9bb74ac-fc5e-43be-a199-3be9602e177c,省みる,かえりみる,Өөрийгөө эргэцүүлэх,自分の行動を省みた。,Өөрийн үйлдлийг эргэцүүлсэн.,28,2025-03-23 09:48:46.010489+00,2025-03-23 09:48:46.010489+00,
02706371-8f08-4c65-8812-308997cedffd,d25341cc-5fe1-409d-a8d8-ce6f208ed70c,息が長い,いきがながい,Туршлагатай,彼は30年前から人気があり、息が長い俳優だ。,"Тэр 30 жилийн өмнөөс алдартай, туршлагатай жүжигчин юм.",3,2025-03-23 13:45:21.794853+00,2025-03-23 13:45:21.794853+00,
02b7c3b7-5f11-40c6-9bd6-bb814543145d,d25341cc-5fe1-409d-a8d8-ce6f208ed70c,一石二鳥,いっせきにちょう,Нэг сум хоёр туулай,アルバイトはお金も経験も得られる。一石二鳥だ。,"Цагийн ажил мөнгө, туршлага хоёрыг авчирдаг. Нэг сум хоёр туулай юм.",17,2025-03-23 13:47:08.216358+00,2025-03-23 13:47:08.216358+00,
03109f08-b836-4a1e-ba3f-d459bce127e8,a7eaf750-b84e-447d-b368-9db06da6bcc5,引きずる,ひきずる,"Чирэх, татах",ソファーを引きずってどかし、掃除した。,Буйданг чирж хөдөлгөөд цэвэрлэсэн.,11,2025-03-23 10:40:52.628435+00,2025-03-23 10:40:52.628435+00,
03649e6d-5fea-4d07-9772-3207f1341472,39a88a52-dbd8-4d8a-a383-76050eb7f9e6,発作,ほっさ,Таталт,夜中に原因不明の発作が起きた。,Шөнө дунд шалтгаан тодорхой бус таталт болсон.,1,2025-03-23 11:48:21.587158+00,2025-03-23 11:48:21.587158+00,
03846de3-910c-4bbe-8985-945e983953a4,847e291d-af07-464d-9d15-955823d5030c,オファー＜する＞,おふぁー＜する＞,Санал болгочих,有名なデザイナーに仕事をオファーした。,Алдартай дизайнерд ажил санал болгосон.,25,2025-03-23 11:19:28.540937+00,2025-03-23 11:19:28.540937+00,
